trt_job_id,trt_job_ref,trt_job_request,trt_job_campaign,trt_job_submitted,trt_job_completed,trt_job_error,trt_job_status,trt_job_rt,trt_twilio_job_detail,trt_twilio_cid
123456,12a34b,"{""phone"": 0123456789, ""lrs_no"": 123456, ""callback"": ""abcd1e2f_34g56h.html"", ""name_last"": ""DOE"", ""tag"": 12}",abcd1e2f,2021-03-31 15:27,2021-03-31 15:45,NULL,complete,1,"{""subresource_uris"": {""recordings"": ""/2010-04-01/Accounts/ABC123/Calls/ABC123/Recordings.json"", ""notifications"": ""/2010-04-01/Accounts/ABC123/Calls/ABC123/Notifications.json""}, ""duration"": ""123"", ""price"": ""-0.01"", ""parent_call_sid"": None, ""answered_by"": None, ""status"": ""completed"", ""caller_name"": """", ""uri"": ""/2010-04-01/Accounts/ABC123/Calls/ABC123.json"", ""to_formatted"": ""(123) 456-7890"", ""date_updated"": ""2021-03-31 23:30:28+00:00"", ""annotation"": None, ""start_time"": ""2021-03-31 23:30:07+00:00"", ""price_unit"": ""USD"", ""sid"": ""ABC123"", ""phone_number_sid"": ""ABC123"", ""account_sid"": ""ABC123"", ""end_time"": ""2021-03-31 23:30:28+00:00"", ""api_version"": ""2010-04-01"", ""to"": ""+11234567890"", ""from_"": ""+11234567890"", ""date_created"": ""2021-03-31 23:30:01+00:00"", ""group_sid"": None, ""from_formatted"": ""(123) 456-7890"", ""forwarded_from"": None, ""direction"": ""outbound-api""}",NULL
123456,12a34b,"{""phone"": 0123456789, ""lrs_no"": 123456, ""callback"": ""abcd1e2f_34g56h.html"", ""name_last"": ""DOE"", ""tag"": 12}",abcd1e2f,2021-04-01 15:27,2021-04-01 15:45,NULL,complete,1,"{""subresource_uris"": {""recordings"": ""/2010-04-01/Accounts/ABC123/Calls/ABC123/Recordings.json"", ""notifications"": ""/2010-04-01/Accounts/ABC123/Calls/ABC123/Notifications.json""}, ""duration"": ""123"", ""price"": ""-0.01"", ""parent_call_sid"": None, ""answered_by"": None, ""status"": ""completed"", ""caller_name"": """", ""uri"": ""/2010-04-01/Accounts/ABC123/Calls/ABC123.json"", ""to_formatted"": ""(123) 456-7890"", ""date_updated"": ""2021-03-31 23:30:28+00:00"", ""annotation"": None, ""start_time"": ""2021-03-31 23:30:07+00:00"", ""price_unit"": ""USD"", ""sid"": ""ABC123"", ""phone_number_sid"": ""ABC123"", ""account_sid"": ""ABC123"", ""end_time"": ""2021-03-31 23:30:28+00:00"", ""api_version"": ""2010-04-01"", ""to"": ""+11234567890"", ""from_"": ""+11234567890"", ""date_created"": ""2021-03-31 23:30:01+00:00"", ""group_sid"": None, ""from_formatted"": ""(123) 456-7890"", ""forwarded_from"": None, ""direction"": ""outbound-api""}",NULL
123456,12a34b,"{""phone"": 0123456789, ""lrs_no"": 123456, ""callback"": ""abcd1e2f_34g56h.html"", ""name_last"": ""DOE"", ""tag"": 12}",abcd1e2f,2021-04-02 15:27,2021-04-02 15:45,NULL,complete,1,"{""subresource_uris"": {""recordings"": ""/2010-04-01/Accounts/ABC123/Calls/ABC123/Recordings.json"", ""notifications"": ""/2010-04-01/Accounts/ABC123/Calls/ABC123/Notifications.json""}, ""duration"": ""123"", ""price"": ""-0.01"", ""parent_call_sid"": None, ""answered_by"": None, ""status"": ""completed"", ""caller_name"": """", ""uri"": ""/2010-04-01/Accounts/ABC123/Calls/ABC123.json"", ""to_formatted"": ""(123) 456-7890"", ""date_updated"": ""2021-03-31 23:30:28+00:00"", ""annotation"": None, ""start_time"": ""2021-03-31 23:30:07+00:00"", ""price_unit"": ""USD"", ""sid"": ""ABC123"", ""phone_number_sid"": ""ABC123"", ""account_sid"": ""ABC123"", ""end_time"": ""2021-03-31 23:30:28+00:00"", ""api_version"": ""2010-04-01"", ""to"": ""+11234567890"", ""from_"": ""+11234567890"", ""date_created"": ""2021-03-31 23:30:01+00:00"", ""group_sid"": None, ""from_formatted"": ""(123) 456-7890"", ""forwarded_from"": None, ""direction"": ""outbound-api""}",NULL
123456,12a34b,"{""phone"": 0123456789, ""lrs_no"": 123456, ""callback"": ""abcd1e2f_34g56h.html"", ""name_last"": ""DOE"", ""tag"": 12}",abcd1e2f,2021-04-03 15:27,2021-04-03 15:45,NULL,complete,1,"{""subresource_uris"": {""recordings"": ""/2010-04-01/Accounts/ABC123/Calls/ABC123/Recordings.json"", ""notifications"": ""/2010-04-01/Accounts/ABC123/Calls/ABC123/Notifications.json""}, ""duration"": ""123"", ""price"": ""-0.01"", ""parent_call_sid"": None, ""answered_by"": None, ""status"": ""completed"", ""caller_name"": """", ""uri"": ""/2010-04-01/Accounts/ABC123/Calls/ABC123.json"", ""to_formatted"": ""(123) 456-7890"", ""date_updated"": ""2021-03-31 23:30:28+00:00"", ""annotation"": None, ""start_time"": ""2021-03-31 23:30:07+00:00"", ""price_unit"": ""USD"", ""sid"": ""ABC123"", ""phone_number_sid"": ""ABC123"", ""account_sid"": ""ABC123"", ""end_time"": ""2021-03-31 23:30:28+00:00"", ""api_version"": ""2010-04-01"", ""to"": ""+11234567890"", ""from_"": ""+11234567890"", ""date_created"": ""2021-03-31 23:30:01+00:00"", ""group_sid"": None, ""from_formatted"": ""(123) 456-7890"", ""forwarded_from"": None, ""direction"": ""outbound-api""}",NULL
123456,12a34b,"{""phone"": 0123456789, ""lrs_no"": 123456, ""callback"": ""abcd1e2f_34g56h.html"", ""name_last"": ""DOE"", ""tag"": 12}",abcd1e2f,2021-04-04 15:27,2021-04-04 15:45,NULL,complete,1,"{""subresource_uris"": {""recordings"": ""/2010-04-01/Accounts/ABC123/Calls/ABC123/Recordings.json"", ""notifications"": ""/2010-04-01/Accounts/ABC123/Calls/ABC123/Notifications.json""}, ""duration"": ""123"", ""price"": ""-0.01"", ""parent_call_sid"": None, ""answered_by"": None, ""status"": ""completed"", ""caller_name"": """", ""uri"": ""/2010-04-01/Accounts/ABC123/Calls/ABC123.json"", ""to_formatted"": ""(123) 456-7890"", ""date_updated"": ""2021-03-31 23:30:28+00:00"", ""annotation"": None, ""start_time"": ""2021-03-31 23:30:07+00:00"", ""price_unit"": ""USD"", ""sid"": ""ABC123"", ""phone_number_sid"": ""ABC123"", ""account_sid"": ""ABC123"", ""end_time"": ""2021-03-31 23:30:28+00:00"", ""api_version"": ""2010-04-01"", ""to"": ""+11234567890"", ""from_"": ""+11234567890"", ""date_created"": ""2021-03-31 23:30:01+00:00"", ""group_sid"": None, ""from_formatted"": ""(123) 456-7890"", ""forwarded_from"": None, ""direction"": ""outbound-api""}",NULL
123456,12a34b,"{""phone"": 0123456789, ""lrs_no"": 123456, ""callback"": ""abcd1e2f_34g56h.html"", ""name_last"": ""DOE"", ""tag"": 12}",abcd1e2f,2021-04-05 15:27,2021-04-05 15:45,NULL,complete,1,"{""subresource_uris"": {""recordings"": ""/2010-04-01/Accounts/ABC123/Calls/ABC123/Recordings.json"", ""notifications"": ""/2010-04-01/Accounts/ABC123/Calls/ABC123/Notifications.json""}, ""duration"": ""123"", ""price"": ""-0.01"", ""parent_call_sid"": None, ""answered_by"": None, ""status"": ""completed"", ""caller_name"": """", ""uri"": ""/2010-04-01/Accounts/ABC123/Calls/ABC123.json"", ""to_formatted"": ""(123) 456-7890"", ""date_updated"": ""2021-03-31 23:30:28+00:00"", ""annotation"": None, ""start_time"": ""2021-03-31 23:30:07+00:00"", ""price_unit"": ""USD"", ""sid"": ""ABC123"", ""phone_number_sid"": ""ABC123"", ""account_sid"": ""ABC123"", ""end_time"": ""2021-03-31 23:30:28+00:00"", ""api_version"": ""2010-04-01"", ""to"": ""+11234567890"", ""from_"": ""+11234567890"", ""date_created"": ""2021-03-31 23:30:01+00:00"", ""group_sid"": None, ""from_formatted"": ""(123) 456-7890"", ""forwarded_from"": None, ""direction"": ""outbound-api""}",NULL
123456,12a34b,"{""phone"": 0123456789, ""lrs_no"": 123456, ""callback"": ""abcd1e2f_34g56h.html"", ""name_last"": ""DOE"", ""tag"": 12}",abcd1e2f,2021-04-06 15:27,2021-04-06 15:45,NULL,complete,1,"{""subresource_uris"": {""recordings"": ""/2010-04-01/Accounts/ABC123/Calls/ABC123/Recordings.json"", ""notifications"": ""/2010-04-01/Accounts/ABC123/Calls/ABC123/Notifications.json""}, ""duration"": ""123"", ""price"": ""-0.01"", ""parent_call_sid"": None, ""answered_by"": None, ""status"": ""completed"", ""caller_name"": """", ""uri"": ""/2010-04-01/Accounts/ABC123/Calls/ABC123.json"", ""to_formatted"": ""(123) 456-7890"", ""date_updated"": ""2021-03-31 23:30:28+00:00"", ""annotation"": None, ""start_time"": ""2021-03-31 23:30:07+00:00"", ""price_unit"": ""USD"", ""sid"": ""ABC123"", ""phone_number_sid"": ""ABC123"", ""account_sid"": ""ABC123"", ""end_time"": ""2021-03-31 23:30:28+00:00"", ""api_version"": ""2010-04-01"", ""to"": ""+11234567890"", ""from_"": ""+11234567890"", ""date_created"": ""2021-03-31 23:30:01+00:00"", ""group_sid"": None, ""from_formatted"": ""(123) 456-7890"", ""forwarded_from"": None, ""direction"": ""outbound-api""}",NULL
123456,12a34b,"{""phone"": 0123456789, ""lrs_no"": 123456, ""callback"": ""abcd1e2f_34g56h.html"", ""name_last"": ""DOE"", ""tag"": 12}",abcd1e2f,2021-04-07 15:27,2021-04-07 15:45,NULL,complete,1,"{""subresource_uris"": {""recordings"": ""/2010-04-01/Accounts/ABC123/Calls/ABC123/Recordings.json"", ""notifications"": ""/2010-04-01/Accounts/ABC123/Calls/ABC123/Notifications.json""}, ""duration"": ""123"", ""price"": ""-0.01"", ""parent_call_sid"": None, ""answered_by"": None, ""status"": ""completed"", ""caller_name"": """", ""uri"": ""/2010-04-01/Accounts/ABC123/Calls/ABC123.json"", ""to_formatted"": ""(123) 456-7890"", ""date_updated"": ""2021-03-31 23:30:28+00:00"", ""annotation"": None, ""start_time"": ""2021-03-31 23:30:07+00:00"", ""price_unit"": ""USD"", ""sid"": ""ABC123"", ""phone_number_sid"": ""ABC123"", ""account_sid"": ""ABC123"", ""end_time"": ""2021-03-31 23:30:28+00:00"", ""api_version"": ""2010-04-01"", ""to"": ""+11234567890"", ""from_"": ""+11234567890"", ""date_created"": ""2021-03-31 23:30:01+00:00"", ""group_sid"": None, ""from_formatted"": ""(123) 456-7890"", ""forwarded_from"": None, ""direction"": ""outbound-api""}",NULL
123456,12a34b,"{""phone"": 0123456789, ""lrs_no"": 123456, ""callback"": ""abcd1e2f_34g56h.html"", ""name_last"": ""DOE"", ""tag"": 12}",abcd1e2f,2021-04-08 15:27,2021-04-08 15:45,NULL,complete,1,"{""subresource_uris"": {""recordings"": ""/2010-04-01/Accounts/ABC123/Calls/ABC123/Recordings.json"", ""notifications"": ""/2010-04-01/Accounts/ABC123/Calls/ABC123/Notifications.json""}, ""duration"": ""123"", ""price"": ""-0.01"", ""parent_call_sid"": None, ""answered_by"": None, ""status"": ""completed"", ""caller_name"": """", ""uri"": ""/2010-04-01/Accounts/ABC123/Calls/ABC123.json"", ""to_formatted"": ""(123) 456-7890"", ""date_updated"": ""2021-03-31 23:30:28+00:00"", ""annotation"": None, ""start_time"": ""2021-03-31 23:30:07+00:00"", ""price_unit"": ""USD"", ""sid"": ""ABC123"", ""phone_number_sid"": ""ABC123"", ""account_sid"": ""ABC123"", ""end_time"": ""2021-03-31 23:30:28+00:00"", ""api_version"": ""2010-04-01"", ""to"": ""+11234567890"", ""from_"": ""+11234567890"", ""date_created"": ""2021-03-31 23:30:01+00:00"", ""group_sid"": None, ""from_formatted"": ""(123) 456-7890"", ""forwarded_from"": None, ""direction"": ""outbound-api""}",NULL
123456,12a34b,"{""phone"": 0123456789, ""lrs_no"": 123456, ""callback"": ""abcd1e2f_34g56h.html"", ""name_last"": ""DOE"", ""tag"": 12}",abcd1e2f,2021-04-09 15:27,2021-04-09 15:45,NULL,complete,1,"{""subresource_uris"": {""recordings"": ""/2010-04-01/Accounts/ABC123/Calls/ABC123/Recordings.json"", ""notifications"": ""/2010-04-01/Accounts/ABC123/Calls/ABC123/Notifications.json""}, ""duration"": ""123"", ""price"": ""-0.01"", ""parent_call_sid"": None, ""answered_by"": None, ""status"": ""completed"", ""caller_name"": """", ""uri"": ""/2010-04-01/Accounts/ABC123/Calls/ABC123.json"", ""to_formatted"": ""(123) 456-7890"", ""date_updated"": ""2021-03-31 23:30:28+00:00"", ""annotation"": None, ""start_time"": ""2021-03-31 23:30:07+00:00"", ""price_unit"": ""USD"", ""sid"": ""ABC123"", ""phone_number_sid"": ""ABC123"", ""account_sid"": ""ABC123"", ""end_time"": ""2021-03-31 23:30:28+00:00"", ""api_version"": ""2010-04-01"", ""to"": ""+11234567890"", ""from_"": ""+11234567890"", ""date_created"": ""2021-03-31 23:30:01+00:00"", ""group_sid"": None, ""from_formatted"": ""(123) 456-7890"", ""forwarded_from"": None, ""direction"": ""outbound-api""}",NULL
